memory,Time,omid,zmid2,zmid1,t_bar,o,z2,z1,g,b
0.09,0.8047,0.0020769568637701214,0.00016565070431892058,0.023754290447511896,8.425305068604766e-11,9.373171554759352e-11,9.97613478024434e-13,0.004418961159365354,0.850765321820046,0.9709555759222753
0.1,0.8019,0.002198078975690118,0.0001835005017193431,0.02417767241258524,1.4484133718977797e-12,7.38130493213975e-14,4.415624613225943e-13,0.003969456601327044,0.8528071929409716,0.971209457964807
0.11,0.8017,0.0022447440362054196,0.00018710411477149076,0.024099467706458464,3.696065352638648e-14,1.4679560981904302e-15,2.1333169873100053e-17,0.003904184427362209,0.8483416597699865,0.9801418390973267
0.12,0.8017,0.002245823600371095,0.00018727814095692715,0.024093097232214512,0.0,1.4809514668871755e-13,0.0,0.0039042146243317556,0.8483726123522227,0.980158612563244
0.13,0.8017,0.0022455760819409735,0.0001873302539362692,0.024093021133551773,1.1248514644081943e-16,0.0,0.0,0.003904110873115516,0.8483825148075819,0.980155014358595
0.14,0.8017,0.00224661720405376,0.00018743748706140224,0.024092671593744418,5.322801544789049e-11,3.838830097225603e-12,1.9087236016873053e-17,0.00390512661291417,0.8483612161318567,0.9801208672017159
0.15,0.8017,0.002245883434841383,0.0001872191154679679,0.024092717933416188,1.4395097521078985e-21,2.020950929830458e-22,2.072191124834414e-21,0.003904190003194487,0.8483783469124632,0.9801571175357976
0.16,0.8017,0.0022457348445632966,0.0001872633972498138,0.02409361656079158,1.982973226222192e-18,0.0,1.3836557685587685e-19,0.0039041868240005943,0.8483688189524424,0.9801600272805541
0.17,0.8017,0.0022471190784553053,0.00018681939909522596,0.02409302201679778,3.739854425853811e-17,3.148900584291784e-17,2.1333157053855962e-14,0.0039048075780597864,0.848345255118635,0.9801533392906233
0.18,0.8017,0.00224582890193666,0.0001872661200411709,0.02409302590970891,7.956396363896706e-13,1.694816781040128e-12,4.39414779650142e-16,0.0039042028759728002,0.8483738080569317,0.9801586174080906
0.19,0.8017,0.002245196826894918,0.00018730840553755787,0.02409284748305904,0.0,0.0,0.0,0.0039037227973317255,0.8483936924922039,0.9801673157770686
0.2,0.8017,0.002244612930338375,0.00018706066189126872,0.024086884416930965,4.008518464534014e-12,3.7528259511818734e-12,0.0,0.0039027085791676916,0.8485110421219416,0.9801519526363484
0.21,0.8017,0.00224545495769204,0.00018697511864922757,0.024089863727777813,3.166209780344115e-12,2.9725000175304053e-12,1.0954138697210488e-15,0.0039034194119380093,0.8484388506241181,0.9801618699107759
0.22,0.8017,0.0022457233331918606,0.00018733945888086328,0.0240928254547169,0.0,0.0,0.0,0.003904149318160832,0.8483770053208334,0.9801600068924544
