w,Time,omid,zmid2,zmid1,tbar_1,o_1,z2_1,z1_1,tbar_2,o_2,z2_2,z1_2
0.8,0.3992,0.007794900136805511,0.00015296266504284342,0.02097494343732471,0.0009291594983298415,0.0010433848097217125,4.942943778461062e-05,0.02665131683911732,1.3586986116894775e-07,5.3119718433619106e-08,2.1472625784700866e-12,0.006955267209473505
0.82,0.4022,0.008361451872464825,0.00027497195545470867,0.018073338575253523,0.0011360695568214416,0.0010768627199043176,4.5525528652578624e-05,0.026544707410090653,3.835646409113521e-16,2.7482292512733684e-26,1.4267116252233547e-21,0.00700663889318799
0.84,0.4051,0.008569612857254638,0.00026486402735372607,0.016320385007357364,0.0011246877223749577,0.001041913795368921,4.296510439205326e-05,0.026703963796945732,3.836239685265347e-21,8.061610391321796e-21,2.2646952015781952e-21,0.006935969843431508
0.86,0.4081,0.008770240562797398,0.0003161582399970697,0.014423028721748356,0.001127467572573087,0.0010288662974227698,3.627153953459219e-05,0.026811419245967846,3.56469422201072e-15,8.062160111568276e-15,1.168590565412407e-14,0.006875209265856585
0.88,0.4109,0.00901857635100368,0.00019039309524994592,0.013116217995011465,0.0011844234854853771,0.0011378920064661242,4.491127008624665e-05,0.02626706458759299,7.592646875148076e-11,4.0701898229615795e-15,3.4655176891505337e-12,0.006898824918838004
0.9,0.4137,0.009325452436236156,0.000165041937686173,0.011236690532220485,0.0012469378185852268,0.0011887204934061344,4.791744154315236e-05,0.026030930639187207,1.1354689816174343e-14,1.2321425897651815e-14,7.453975736914235e-12,0.006894426266987256
0.92,0.4166,0.009911946061169262,0.0002468992716484163,0.007665365550779301,0.0011400468962302814,0.001040170397106915,3.3434555241498164e-05,0.02707686995441383,1.329187625195078e-09,1.3222929277399357e-10,3.3814317746042034e-07,0.00672367335955247
0.94,0.4192,0.010170460528329714,9.975114289899036e-05,0.006615201349622483,0.00136543219623234,0.0012491721654189765,4.771253747788536e-05,0.025848273128625813,6.91429583074979e-07,3.253381766033984e-07,8.286597190553765e-10,0.006856326192706493
0.96,0.4218,0.01068224860325427,8.638962590202362e-06,0.00413522225160704,0.0013953405546039883,0.001251162678012353,4.7186536082515596e-05,0.025909473172161,2.946073970450285e-10,9.984335061003738e-10,1.2293126490180518e-09,0.006817224067213205
0.98,0.4244,0.01090268128984792,4.173128767850283e-05,0.0021189332968344693,0.0014228819443046692,0.001292218743990228,4.348436102169435e-05,0.02574831698628708,1.7734901448467642e-10,2.9644863869350994e-11,1.0836575746150063e-10,0.006788507660321408
1.0,0.427,0.011199525807584609,2.392049053019633e-13,8.40390642931602e-14,0.0013925333352659234,0.0013001353821326207,5.3627619375492524e-05,0.0257408380006919,8.629831985539892e-10,3.722914024278518e-11,6.626921773451715e-11,0.006726136576326473
